,Unnamed: 0,date,id_x,latitude,longitude,place_id,post_id,text,uid,field_1,address,checkins,group_id,lat,lng,title,labels,id_y,stats,main_categorie
3670,980071,1514925077.0,8941182_594,59.927772999999995,30.343172999999997,11200126,594.0,Праздники в Питере! ???,8941182.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3671,980072,1512858504.0,1022800_5241,59.927772999999995,30.343172999999997,11200126,5241.0,"Ты только не плачь, бедная мышка, не плачь...",1022800.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3672,980073,1511026886.0,2467270_48290,59.927772999999995,30.343172999999997,11200126,48290.0,#MolliesIrishPub,2467270.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3673,980074,1509214642.0,132880465_523,59.927772999999995,30.343172999999997,11200126,523.0,,132880465.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3674,980075,1505730240.0,17596103_7679,59.927772999999995,30.343172999999997,11200126,7679.0,"найти работу и наладить свою жизнь ты всегда успеешь, а вот паб закрывается через пять часов.",17596103.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3675,980076,1505146510.0,34196480_1936,59.927772999999995,30.343172999999997,11200126,1936.0,В Питере пьем !Здесь к пивку подают оливочки ?#mollie's,34196480.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3676,980077,1504384268.0,3345822_4233,59.927772999999995,30.343172999999997,11200126,4233.0,"Ну как бы, традиция..<br>Forza Italia from Molly's!",3345822.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3677,980078,1500049916.0,446079_3050,59.927772999999995,30.343172999999997,11200126,3050.0,Пятница)))),446079.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3678,980079,1498939966.0,8367804_5502,59.927772999999995,30.343172999999997,11200126,5502.0,"Happy birthday, Mollie's Pub!",8367804.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
3680,980081,1498933924.0,113975_9211,59.927772999999995,30.343172999999997,11200126,9211.0,"Пинта сидра делает волынку недурным инструментом, а лавирование между туристами на Невском - невообразимой сложности квестом, имейте в виду.  @ Mollie's",113975.0,2954,"СПБ, ул. Рубинштейна, 36",86,,30.343509,59.927676,Mollie's Irish Pub,136,4b9c0540f964a520974136e3,"{'tipCount': 255, 'usersCount': 11424, 'checkinsCount': 26876}",Nightlife Spot
