,Unnamed: 0,date,id_x,latitude,longitude,place_id,post_id,text,uid,field_1,address,checkins,group_id,lat,lng,title,labels,id_y,stats,main_categorie
50036,1575422,1517485584.0,14549421_6761,59.941164,30.269421,8923483,6761.0,Animus ad omne jus dicit !!! Уххх.... ?,14549421.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50039,1575425,1490703340.0,9320119_11466,59.941164,30.269421,8923483,11466.0,"В ожидании судебного процесса в Василеостровском районном суде?? обратил внимание на расписание на дверях судьи????<br>.<br>Мало того что оно оказалось вчерашним, так ещё с приколами, прокурор ВОР судится с детским садом ВОР 1 в Спб?<br>.<br>P.S. Ну и конечно по делу которому я пришёл получили нужный клиенту результат.",9320119.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50040,1575426,1485350049.0,32691811_4566,59.941164,30.269421,8923483,4566.0,Какое же долгое ожидание ? #ктознаеттотпоймет#,32691811.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50041,1575427,1484639090.0,3452557_3712,59.941164,30.269421,8923483,3712.0,"Ожидание решения - самый волнительный момент в нашей работе. Уровень рефлексии в те бесконечные минуты, пока судья рассматривает твои доводы и документы, пока сопоставляет возражения сторон, пропуская массив полученной информации через призму своего сознания, зашкаливает. Самое время разобрать дело по косточкам, вспомнить что не сказал, какие еще доказательства мог представить, какие слова найти для опровержения позиции оппонентов. Пятна, пробелы, логические нестыковки высвечиваются красными буквами. Сомнения-сомнения-сомнения. Дело, которым ты пропитался насквозь, персонажи, жизнь которых ты изучил роем кружат в голове.  Гормоны стресса привычно скручивают узлом мышцы, заставляют дрожать пальцы, а ладони потеть. Вроде бы почти 20 лет хожу в процессы, а привыкнуть не могу. Всякий раз сижу плотно стиснув зубы. Слух обостряется, хочется слышать все щорохи в судейской комнате. Что сейчас читает судья, как она воспримет и истрактует доказательства. Заявленные требования, это всегда логическая система, сотканная на живую нитку. В любой системе есть огрех который делает ее неустойчивой. И вот судья выходит, а ты по выражению лица ты пытаешься угадать, что именно она решила. После слов ""Именем Российской Федерации,"" дыхание замирает, а кровь начинает стучать в ушах как молоток. Слова ""требования удовлетворить"", которые произносятся в самом конце судейской финальной скороговорки отпускают скопившееся напряжение. Можно выдыхать. Ты победил. <br>Вознаграждаю себя огромным куском торта и стаканом сока. Сегодня после обеда еще одно заседание.  [id330023640|Александра Галкина]",3452557.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50043,1575429,1479384764.0,4007680_621,59.941164,30.269421,8923483,621.0,,4007680.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50044,1575430,1431846027.0,8244312_2499,59.941164,30.269421,8923483,2499.0,Выходные в Питере ),8244312.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50045,1575431,1418216303.0,56802440_1408,59.941164,30.269421,8923483,1408.0,,56802440.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50046,1575432,1417765568.0,71760_15962,59.941164,30.269421,8923483,15962.0,"Приехала судиться в Василеостровский районный суд. Он для меня особенный)<br><br>Здесь состоялось самое первое мое судебное заседания.<br>Здесь я в первый раз в моей юридической практике выглядела невообразимо глупо. Настолько глупо, к счастью, не только в первый, но и в последний:)<br>Здесь же я впервые получила положительное решение. А кроме того поняла, что даже ошибки могут привести к победе.",71760.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50047,1575433,1417079093.0,1750012_23255,59.941164,30.269421,8923483,23255.0,,1750012.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
50048,1575434,1411894461.0,212365781_253,59.941164,30.269421,8923483,253.0,Небольшой вброс от Меломана-Рецидивиста - нафталиновая Урбана и кое-какая Свежесть. <br>Tnx.,212365781.0,5984,Средний проспект В.О. 55,18,,30.269820000000003,59.94079,Василеостровский районный суд города Санкт-Петербурга,53,,,
