,friends_count,friends_list,uid
0,113,"[27727, 280249, 338260, 353857, 373599, 378589, 438907, 457697, 494454, 627339, 660737, 667935, 699768, 776456, 782827, 879183, 993774, 1003563, 1012999, 1152196, 1153206, 1188051, 1222768, 1280045, 1305676, 1305978, 1574742, 1732244, 1768587, 1782473, 1927286, 1983228, 2016816, 2289923, 2454651, 2878687, 2922072, 3068784, 3126011, 3216670, 3288416, 3999653, 4144477, 4174127, 4723194, 5717773, 5726965, 6702993, 8196436, 8328792, 9229599, 11034025, 11979990, 12197646, 13627159, 18308119, 18639701, 18665238, 22227436, 22454747, 24306268, 26079499, 27804249, 27840506, 29730356, 30774556, 30899378, 31403606, 33746836, 34767884, 35409095, 35971867, 38234110, 39008141, 39691478, 43678005, 46418620, 49439799, 52420413, 55173226, 62046617, 69189166, 73680573, 80267914, 81152541, 95912023, 96723859, 112238360, 120165867, 131852936, 146005537, 147513196, 152955811, 153241504, 154431368, 155938462, 160483756, 178313028, 185494945, 188750840, 198711614, 199468998, 200783282, 212304901, 222367334, 225839957, 264681455, 267518662, 268439647, 303867147, 395435886, 449371826, 457747369]",67454083
1,130,"[2190, 6379, 41258, 66000, 79893, 86537, 103036, 133974, 186278, 189210, 194180, 196068, 199329, 285453, 372787, 385692, 391669, 401148, 495871, 527465, 566219, 676635, 775102, 781673, 876097, 1000598, 1074177, 1112711, 1140360, 1256968, 1307651, 1378152, 1448692, 1566652, 1829929, 1862115, 2095019, 2185091, 2287363, 2330501, 2337871, 2342455, 2356177, 2496999, 2693031, 2944112, 3018172, 3300777, 3757238, 3854415, 3948480, 3979572, 4009381, 4073517, 4135725, 4168753, 4284412, 4336606, 4711252, 4750815, 5132059, 6378931, 6413958, 6551785, 6676253, 6780630, 8000279, 8161782, 8517761, 10189522, 12452109, 13107696, 16018375, 16112363, 20775327, 22166804, 22247091, 22687517, 24589889, 26529057, 29652996, 30058374, 30747333, 31306512, 31554547, 43644928, 44307917, 44380048, 50071152, 52280062, 55292371, 62529276, 64441581, 77524399, 80901894, 84843399, 87907512, 89015466, 90358919, 94868916, 104481588, 113988948, 119835037, 120771716, 132570933, 133390082, 134917420, 141419965, 142134492, 150361009, 152827380, 157318359, 164514095, 168219274, 174555479, 177526928, 177711637, 185052344, 191146922, 199444850, 225338020, 270421099, 275479835, 280382162, 341799338, 389894430, 420092043, 441324301, 467631680, 487578571]",1257196
2,357,"[45072, 66457, 66766, 76947, 87428, 94909, 141170, 178259, 191216, 259785, 268865, 286345, 305054, 349142, 404565, 421185, 491014, 577761, 617966, 628250, 691323, 711160, 717695, 737660, 773098, 776298, 777365, 782586, 840500, 973382, 998178, 1008027, 1141727, 1195767, 1233054, 1241301, 1256741, 1338834, 1357145, 1384729, 1393393, 1422235, 1434982, 1556993, 1701244, 1846438, 1861437, 1888901, 2101335, 2144567, 2174972, 2178525, 2193263, 2227508, 2229818, 2277658, 2337455, 2644008, 2694143, 2787702, 2800573, 2817785, 2852741, 2867965, 2885786, 3035296, 3049068, 3146385, 3148750, 3339506, 3438266, 3471042, 3523828, 3693095, 3810998, 4003430, 4281292, 4613404, 4691344, 4772352, 4950494, 5269224, 5337951, 5534493, 5687467, 6179332, 6285755, 6296081, 6380817, 6476593, 6495622, 7369025, 7482913, 7507630, 8443055, 8482032, 8517862, 8625812, 8848195, 8854323, 9085022, 9137018, 9258351, 9302684, 9390236, 10013259, 10203658, 10295801, 10336079, 10644479, 10767600, 10777037, 10822892, 11725800, 12489927, 12495813, 13032908, 13719262, 14158389, 14483147, 15453495, 15732184, 16461502, 16509559, 17574738, 18124046, 20454958, 21384174, 21707237, 22010970, 22590096, 22795641, 23106966, 23153430, 24941109, 25607592, 25611801, 25817164, 26379331, 27298944, 27303562, 27542437, 28342763, 28367913, 28904481, 29211565, 29610977, 30061981, 30265900, 31203110, 31331307, 32058370, 32322799, 34418052, 35822500, 36138244, 38208910, 38526669, 38619008, 39644605, 39804442, 40163772, 41594959, 42554230, 43167711, 43395779, 43789908, 44647832, 44887208, 45613873, 45793737, 48393168, 49627694, 50443493, 50531952, 50553329, 51215309, 51439179, 54361873, 56415094, 56896062, 57843313, 58158308, 59494155, 60392356, 61112261, 62133307, 64220794, 64245769, 68320745, 69732796, 73222696, 73799972, 73804253, 77682822, 84035607, 85030054, 86018248, 87529200, 87713828, 88225715, 88908499, 88938624, 93757064, 94048373, 97725345, 98461669, 99393326, 100284602, 100663744, 101850862, 102151262, 114333503, 119624101, 122505898, 122773744, 126362372, 130575779, 130846392, 133897313, 134418100, 135132533, 137376957, 138149590, 139080930, 145203086, 146193900, 147039120, 147957437, 148549599, 152668395, 153514771, 153650123, 154833240, 155070907, 156291329, 156736345, 158404124, 158409385, 159603899, 160019718, 161166103, 162020195, 162605148, 162716033, 163145809, 163580234, 164837939, 166951281, 167979555, 169607327, 169650170, 170573258, 171956525, 177660071, 179924096, 180429324, 180764197, 183892394, 186236184, 189297585, 189783411, 201495711, 204057771, 206637728, 206831429, 207560409, 213909821, 215044351, 216445108, 223204537, 225035081, 226946590, 232890334, 239896805, 243576756, 244279925, 246603444, 247196202, 247528506, 248243358, 253533842, 259436429, 259757453, 260289148, 260442684, 263889908, 265204909, 265523934, 274673960, 276989586, 277377563, 282091086, 282514984, 283189850, 284226668, 284453863, 289154598, 291221887, 291969716, 294739214, 295151085, 297396090, 298011818, 301234416, 316055229, 317842949, 319641986, 320204465, 321353889, 325485386, 326056001, 326105853, 326407988, 332730634, 332782656, 338245837, 339831649, 345683216, 349261235, 351119454, 353458627, 357150144, 357691557, 363476097, 363636827, 364255880, 368780275, 372558484, 380432454, 386427811, 387073118, 395188487, 396541431, 400759110, 401557189, 405534406, 409719937, 413484871, 416891167, 421931706, 421999419, 423114280, 427797664, 429671469, 434256251, 434294984, 434786590, 437513171, 443458610, 444871713, 449447170, 451329656, 454246913, 473571934, 474526127, 478558932]",28940548
3,258,"[16614, 51090, 66177, 77602, 78317, 107408, 166084, 174190, 210743, 322994, 334966, 337520, 342905, 367884, 429550, 457042, 463715, 465943, 494395, 504699, 514477, 551105, 594403, 736928, 958265, 966733, 1097829, 1123344, 1153052, 1164430, 1217299, 1342563, 1343527, 1410323, 1410749, 1467292, 1516042, 1549810, 1555952, 1592966, 1619932, 1624460, 1725582, 1730105, 1740180, 1800455, 1811839, 1840028, 2058232, 2374686, 2378230, 2411686, 2478114, 2523230, 2625630, 2674801, 2832293, 2885122, 2912787, 3110559, 3126604, 3127900, 3131479, 3162181, 3284954, 3428259, 3450867, 3924969, 4096905, 4230902, 4325036, 4682974, 4729545, 4779651, 4797656, 4816955, 4854731, 5387276, 5742658, 6052729, 6217001, 6417188, 6590467, 6716716, 6940360, 7037938, 7232514, 7484395, 7728523, 7947931, 8236882, 8644160, 8691634, 9116194, 9727442, 10033407, 10152218, 10212474, 10263555, 10679648, 10956922, 12294321, 12532953, 13345251, 13495009, 13729215, 13756365, 14034839, 14087749, 14587810, 14606440, 14972196, 15456193, 16559762, 16926584, 17416155, 19292345, 19563831, 19958912, 21015998, 21112247, 22066439, 22571718, 22775094, 23467156, 24052905, 24341576, 24744032, 25649903, 25695902, 26499429, 26780574, 29935223, 30820098, 33520425, 34087950, 34412985, 35732227, 36599483, 37455443, 41558823, 43160551, 43227216, 43868039, 44002850, 44157860, 46533688, 51043136, 51114146, 51847703, 51866959, 52915136, 53271410, 53910696, 55429757, 56402698, 57866737, 58085885, 58378250, 61276919, 61289878, 62533650, 62593466, 63039246, 64312940, 65539970, 65662383, 66159518, 68282487, 71927589, 74511035, 78769787, 78783417, 80506897, 81891911, 83118638, 86371217, 87487716, 88590508, 91193460, 93402108, 93854723, 95248502, 98022957, 101389780, 110529074, 112905580, 116624958, 120443502, 120686281, 130373378, 133753627, 136240368, 136314734, 137503860, 137593225, 144468634, 146225569, 149265628, 150903048, 151786092, 152067209, 153367437, 155419045, 158312382, 171311463, 172370218, 180228016, 180970207, 185164733, 186231640, 186444504, 187104233, 187498738, 189880779, 190433856, 196425745, 201246871, 201465194, 202092868, 217597118, 221367721, 222576179, 225032892, 227581276, 229091533, 231766386, 231894748, 235803496, 236474990, 236556880, 243647874, 255487477, 257664433, 279812738, 282254617, 294065462, 297965317, 298481432, 309614673, 316964905, 333195453, 333373344, 342426859, 348519445, 353164755, 381465321, 387634754, 392148670, 397771919, 404202601, 406488681, 411447712, 417714273, 419846305, 425617647, 431632775, 443051157]",99983167
4,81,"[70536, 129979, 133855, 168154, 221419, 221902, 281190, 457823, 741286, 998308, 1145078, 1198754, 1268555, 1280766, 1461786, 1756922, 2031492, 2046655, 2199641, 2379396, 2385352, 2390874, 2514165, 2941330, 3264253, 3355001, 3828130, 3888092, 6555548, 6720947, 6784133, 7422664, 8428797, 8633665, 8681973, 8999027, 9473743, 9589076, 13985195, 14160782, 16274467, 16495356, 16553987, 18834834, 19391271, 20157481, 22132784, 23311759, 23646646, 26209304, 27869766, 30147064, 31321422, 32507450, 46440385, 51265438, 51488257, 54910251, 58936223, 65720465, 70488853, 79678982, 85007753, 116220073, 140554029, 144357868, 156948634, 171157464, 187609370, 190242147, 219762801, 242979572, 267762975, 281778431, 310952863, 361537793, 366410909, 368310770, 379689001, 426111281, 437532880]",1594912
5,210,"[48583, 76274, 111042, 162437, 172151, 172382, 177342, 214631, 219873, 223667, 227392, 240003, 274409, 315875, 316794, 328863, 329643, 351880, 352614, 356835, 361997, 429028, 487259, 594761, 607519, 625072, 640238, 657248, 673148, 694425, 709484, 721339, 757789, 816254, 886413, 943626, 947026, 980193, 1005079, 1012029, 1015603, 1018681, 1020850, 1023613, 1025168, 1075825, 1099326, 1129125, 1186027, 1263375, 1405596, 1406263, 1497073, 1504975, 1514658, 1522008, 1557179, 1611620, 1619555, 1705087, 1706398, 1767840, 1774377, 1776550, 1842489, 1999068, 2003893, 2068058, 2125419, 2420611, 2423937, 2580651, 2647903, 2729141, 2859781, 2868478, 2879284, 2892992, 2997213, 3194237, 3335492, 3562795, 3601963, 3605042, 3852832, 3883672, 4260881, 4447854, 4514005, 4749610, 4769685, 4797951, 4827779, 5184972, 5221592, 5281450, 5293138, 5736782, 5768024, 5856400, 5857888, 6011318, 6318724, 8247484, 8411245, 8482391, 8498711, 8955041, 8959738, 8980048, 9559026, 10457871, 10551357, 11273456, 11442427, 13293343, 13438408, 13692633, 14017211, 14311992, 17038442, 18688885, 18891601, 20560644, 22862936, 23367014, 24563569, 26790527, 27223923, 27869991, 28348310, 28724981, 29587919, 30604880, 31888280, 33033887, 33456849, 33996365, 35489130, 38737236, 39948162, 41374632, 44437863, 45746480, 47136402, 47253821, 47731918, 49304146, 52929460, 55844473, 56584068, 58231284, 58270330, 61412782, 62156896, 65448034, 65791975, 66936535, 69664329, 78718421, 82121801, 82328170, 86236761, 89317954, 93556241, 95108635, 96364928, 96587725, 100527538, 102033686, 105791742, 115825641, 117920546, 127137750, 133604454, 135089909, 137866236, 146097139, 146254544, 151010597, 152989326, 154072860, 158395619, 161688271, 165049206, 171762938, 174140090, 178100015, 181395986, 188368492, 191627308, 196936803, 203688849, 212048864, 212158272, 220325432, 224884462, 231845187, 247220324, 261105211, 266217964, 269820020, 331868496, 364748219, 368010372, 368514848, 382494953, 393822378, 406602232, 412204452]",23609493
6,109,"[59479, 68415, 156611, 323132, 343796, 375384, 397415, 406142, 411963, 435739, 453665, 485627, 497826, 541095, 541266, 545271, 589514, 599656, 655384, 848093, 908447, 1044254, 1166702, 1188166, 1283535, 1307790, 1322844, 1350780, 1423410, 1545348, 1623156, 1733591, 1935390, 1962893, 2233380, 2570166, 2614375, 2674626, 2925774, 2972167, 3255665, 3456004, 3560675, 3560933, 3993276, 4301422, 4661992, 4721635, 4785629, 5167753, 6351593, 6505100, 6535052, 6761105, 6768798, 6790411, 7191860, 7515029, 8493382, 8553673, 8826443, 9373949, 10231424, 11334250, 12590195, 16111496, 16818779, 20717977, 21392214, 21497816, 27932261, 28801321, 28838402, 29215945, 31548715, 33516112, 38033680, 40048364, 43053445, 51241165, 52587830, 52962379, 55274400, 68244660, 79414906, 108845280, 110121551, 114415310, 120275653, 134718600, 138627915, 142851382, 147864363, 151167977, 161996797, 164439054, 164829146, 179460339, 188372626, 203616580, 228551781, 270768544, 299399920, 306893733, 330263998, 348886485, 437812488, 443941910, 466028421]",6782455
7,142,"[47678, 79993, 81059, 101111, 114599, 118956, 142069, 223771, 229783, 265548, 362147, 402196, 423981, 475324, 505717, 519228, 525967, 707830, 744835, 975914, 983115, 1034102, 1185245, 1227064, 1485498, 1499344, 1518183, 1558884, 1569910, 1605800, 1633269, 1651888, 1654766, 1725277, 1985648, 2034517, 2133847, 2323297, 2567123, 2734412, 2906968, 3015155, 3038221, 3116648, 4027286, 4370754, 4431326, 4500497, 4658568, 5190467, 5332903, 6755125, 7057891, 7310174, 7428351, 7986372, 8884875, 9374133, 9545231, 11480321, 11821085, 14310580, 15572755, 15706282, 16630546, 19578669, 20549559, 24442549, 24706068, 27086269, 28896702, 31984096, 35936185, 40344456, 43586743, 43883061, 52469813, 54490828, 55570266, 58207166, 74456561, 74978597, 75813704, 81095561, 83669147, 91436020, 94848280, 94913843, 96773260, 98232101, 99265347, 105637365, 105743337, 108402280, 108625454, 111686253, 115137556, 125630736, 129091231, 136610462, 138525838, 143969274, 145345470, 146823905, 147980463, 152097403, 152497150, 155977835, 161684583, 163161560, 170971837, 171382317, 178716654, 182358116, 191253043, 194069663, 198875740, 206044143, 215613552, 220814723, 224972878, 226154432, 241520541, 242041799, 242979572, 246278792, 282213843, 283530680, 286739068, 296880200, 318027500, 323306571, 327657757, 337206709, 352934586, 353309805, 367289430, 383360033, 388894866, 434907361, 437532880, 453187721]",225747703
8,442,"[155184, 174906, 177311, 187295, 247168, 334437, 344114, 347044, 352042, 627485, 715319, 774384, 775909, 865864, 893667, 991582, 1031901, 1114169, 1145860, 1261882, 1561162, 1800816, 1870526, 2053101, 2227983, 2336295, 2464881, 2504709, 2518845, 2538547, 2555004, 2741462, 3124494, 3133887, 3143626, 3212468, 3273716, 3304143, 3343951, 3347081, 3404511, 3574020, 3593166, 3654610, 3672109, 3904414, 4086201, 4168595, 4366126, 4403557, 4455410, 4522790, 4634828, 4697401, 4821789, 5093077, 5354716, 5732332, 6106571, 6223388, 6671241, 6708539, 6855737, 6865452, 7234948, 7581767, 7591844, 7775059, 7910683, 7942845, 7977723, 7990012, 8146162, 8540825, 8751779, 8924861, 9183870, 9359990, 10152976, 10208425, 10358304, 10421916, 10753905, 10876085, 11267966, 11539287, 11572884, 12278131, 12304379, 12698544, 13062359, 13176148, 13211228, 13396632, 13503949, 13648267, 13657954, 13674687, 14058173, 14265837, 14289866, 14792692, 15121260, 15125357, 15344000, 15439272, 15792734, 15946240, 16074342, 16211500, 16510643, 16652149, 16669329, 16941976, 17271911, 17337199, 17486203, 17552781, 17860458, 17950589, 18508793, 18655980, 18927744, 19567694, 19598527, 19842308, 19847335, 20259810, 20266921, 20598354, 20755888, 21293620, 21301123, 21708291, 21720671, 21736629, 22141013, 22171901, 22307879, 22714855, 22869088, 23045104, 23489900, 24178599, 24192671, 24860789, 25484175, 25560116, 26181905, 26716600, 26894180, 26927017, 27208859, 27727287, 27982073, 28901831, 29265961, 29327108, 30122703, 30134249, 30475946, 31035076, 31039200, 32066537, 32854894, 33232414, 33514879, 33581098, 33598097, 33933203, 34025895, 34098350, 34207957, 34819714, 35724361, 36177715, 36386149, 36922127, 37189520, 37303258, 38024959, 38064232, 38704637, 38936879, 39069276, 39196632, 40326596, 40564376, 40847808, 41042807, 41065047, 41597535, 42075485, 42931901, 43215972, 43240873, 43600906, 43607046, 43699516, 44071644, 44967840, 44997918, 45587014, 45691927, 45905852, 45995263, 46758743, 46784995, 46802283, 47911096, 48176168, 49365975, 49903696, 51481889, 51554728, 52053369, 52107796, 54068444, 54948721, 55430538, 55653222, 56802989, 59416467, 60043655, 60146382, 61610848, 62259711, 65114703, 65610514, 66897767, 67807811, 67810921, 68098329, 68223858, 69463947, 69668933, 69996941, 70972586, 71171182, 71587289, 72409000, 73918819, 74594719, 75351956, 77982783, 78888124, 80269149, 80597310, 83044744, 84435290, 84441908, 87987689, 93732657, 95137786, 96017038, 97099011, 97113756, 98017137, 99732690, 100501101, 101523468, 103046182, 103515728, 104283670, 109301433, 112284331, 113349341, 116753153, 120734211, 123655077, 124236641, 124477292, 124925977, 124998718, 133488114, 133528019, 134255746, 135605556, 136183445, 136716490, 136797571, 137225511, 137517314, 137631219, 138228220, 141485962, 142563341, 143875237, 144913281, 145066478, 145778546, 145868233, 147091846, 148728227, 149284155, 149505764, 150957479, 151892443, 153057126, 153356442, 153681804, 153714585, 156967967, 161790443, 162687283, 164072226, 165252415, 167045297, 168815697, 169795525, 170090218, 170603522, 173234697, 173823612, 176009251, 176120580, 177289044, 178799888, 179285372, 179349258, 179751840, 180785267, 182024230, 182580580, 182808748, 182818895, 188932188, 189825691, 192200748, 194471530, 195164872, 196164713, 196462565, 197170120, 198215311, 200264196, 202889743, 203454002, 204200432, 204529099, 204649093, 204790168, 207913393, 208021263, 211571828, 211626823, 212718516, 217400884, 217590605, 219120386, 221259941, 223250307, 225825933, 227510527, 228808547, 230841159, 235850516, 237344251, 238029541, 238381025, 239411956, 240972424, 241694701, 242109583, 244925096, 247963759, 248094006, 248407764, 249031427, 249199928, 251846399, 254368049, 255475806, 260079542, 264511479, 267138820, 267302617, 267571704, 270573298, 271081398, 272313699, 273663496, 281425488, 283086467, 284005428, 292249046, 292879055, 297845606, 298834022, 299108350, 301042116, 303365613, 309090809, 312251415, 320648938, 322071944, 324461497, 327197511, 330133360, 335383441, 336146795, 336866411, 340905793, 341421639, 342235130, 344608345, 345418973, 345852063, 347865424, 353682363, 355092390, 357791847, 358617860, 362377508, 366829811, 378597698, 382644281, 389987940, 390620117, 391483987, 397939715, 400078830, 400580966, 400987959, 401508587, 402129399, 403278053, 409671021, 412787011, 414596628, 417934983, 417940783, 419835921, 424282436, 426139933, 434274531, 441274657, 444129434, 452207723, 458093843, 480010791, 493200746]",31283264
9,129,"[30545, 54724, 57038, 63010, 96128, 200954, 202141, 202466, 214879, 227045, 353100, 405340, 481341, 555819, 630946, 677114, 712568, 820934, 823009, 830331, 830411, 879466, 884607, 1019379, 1050664, 1188219, 1451184, 1565781, 1746527, 1763889, 1853136, 1968118, 2203896, 2379564, 2496107, 2517551, 2789453, 2800016, 3273660, 3765779, 3994217, 4319061, 5062861, 5216117, 5311727, 6161385, 6634820, 6848853, 7574621, 11204367, 11962057, 12128706, 12641243, 13167382, 13375292, 16287798, 19626343, 21198361, 21653291, 21807819, 22266130, 23508319, 23542002, 24470067, 26895373, 27331421, 28874179, 29928139, 30588631, 33077859, 33911816, 34040623, 39419750, 40856819, 50871324, 52232653, 55179828, 67471811, 71715668, 78793193, 90646102, 92126467, 92949531, 99040402, 110562769, 125190819, 136691708, 137589944, 147447833, 147677905, 157436900, 158527280, 170013469, 171754076, 177145096, 177757247, 179443271, 198025755, 209198875, 230964693, 247278659, 263113668, 263296553, 268930004, 271066187, 277165702, 277276320, 293477009, 307861056, 312261414, 328717728, 331874277, 333964112, 344353131, 350444507, 356284919, 368391869, 375808132, 378957634, 381938464, 383077398, 391143642, 395575371, 414817138, 423857899, 424605016, 428995260, 454605413, 464194465]",964445
